title,description,emotion,category,type,link,,
Understanding Negative Emotions,Overview of negative emotions and how to respond skillfully to them,confusion,psychoeducation,article,https://www.verywellmind.com/how-should-i-deal-with-negative-emotions-3144603,,
Grounding Practice For Overwhelm,Guided meditation that helps calm the mind when thoughts feel scattered,confusion,relaxation,video,https://www.youtube.com/watch?v=wE292vsJcBY,,
Breathing To Clear Your Mind,Short video teaching paced breathing to calm confusion and worry,confusion,relaxation,video,https://www.youtube.com/watch?v=V6ru4eTnWJI,,
Curiosity And Mental Health,Article describing how curiosity supports learning resilience and growth,curiosity,psychoeducation,article,https://www.verywellmind.com/what-is-positive-thinking-2794772,,
Using Curiosity To Understand Feelings,Guide to exploring emotions with curiosity instead of judgment,curiosity,emotional-insight,article,https://www.verywellmind.com/how-to-cope-with-negative-emotions-3144603,,
The Science Of Happiness,Talk that explores how our minds work and invites curiosity about happiness,curiosity,wellbeing,video,https://www.youtube.com/watch?v=4q1dgn_C0AU,,
Exploring Psychology Topics,Channel with many short videos that spark curiosity about mental health and emotions,curiosity,education,video,https://www.youtube.com/%40Psych2go/videos,,
Understanding Desire And Craving,Article explaining how thoughts and emotions around desire can affect behavior,desire,psychoeducation,article,https://www.verywellmind.com/how-should-i-deal-with-negative-emotions-3144603,,
Mindfulness For Urges,Guide that shows how breathing and mindfulness can help you sit with strong urges safely,desire,coping-skills,article,https://www.headspace.com/meditation/breathing-exercises,,
Breathing To Pause Before Acting,Video teaching box breathing so you can pause before acting on impulses,desire,relaxation,video,https://www.youtube.com/watch?v=a7uQXDkxEtM,,
Using Gratitude To Rebalance Wants,Video explaining how gratitude shifts focus from what is missing to what is present,desire,wellbeing,video,https://www.youtube.com/watch?v=AlOEYqDFn-o,,
What Is Sadness Versus Depression,Article explaining normal sadness and how it differs from clinical depression,disappointment,psychoeducation,article,https://www.verywellmind.com/sadness-is-not-depression-2330492,,
Healthy Coping For Disappointment,Article on coping skills for difficult emotions like sadness and letdown,disappointment,coping-skills,article,https://www.verywellmind.com/forty-healthy-coping-skills-4586742,,
Walking To Lift Your Mood,Article describing how a simple daily walk can boost mood after disappointment,disappointment,body-based,article,https://www.verywellhealth.com/mental-health-benefits-of-walking-8764863,,
Meditation To Let Go,Video meditation that guides you to release tension after a hard day,disappointment,relaxation,video,https://www.youtube.com/watch?v=wE292vsJcBY,,
Dealing With Disapproval,Article on handling criticism and disapproval without losing your sense of self,disapproval,self-esteem,article,https://www.verywellmind.com/ways-to-stop-self-hatred-4164280,,
Shame And Social Pain,Article explaining shame and how it relates to feeling judged or rejected,disapproval,psychoeducation,article,https://www.verywellmind.com/what-is-shame-5115076,,
Self Compassion For Feeling Judged,Video about using self compassion when you feel ashamed or disapproved of,disapproval,emotional-insight,video,https://www.youtube.com/watch?v=rTFN8t9SXiQ,,
Toxic Shame And Criticism,Video on how harsh criticism can create toxic shame and how to respond differently,disapproval,emotional-insight,video,https://www.youtube.com/watch?v=sfKth8OdM1g,,
What Is Disgust,Article describing the emotion of disgust and how it can show up in daily life,disgust,psychoeducation,article,https://www.verywellmind.com/how-should-i-deal-with-negative-emotions-3144603,,
Coping With Harsh Self Judgement,Article on turning disgust and self loathing into kinder internal dialogue,disgust,self-esteem,article,https://www.verywellmind.com/ways-to-stop-self-hatred-4164280,,
Understanding Toxic Shame,Article explaining toxic shame which often feels like deep self disgust,disgust,psychoeducation,article,https://www.verywellmind.com/toxic-shame-8636232,,
Healing From Toxic Shame,Video with ideas to replace negative coping habits linked to shame and disgust,disgust,healing,video,https://www.youtube.com/watch?v=XZu7CGe6sQ8,,
What Is Embarrassment And Shame,Article explaining shame embarrassment and how they differ,embarrassment,psychoeducation,article,https://www.verywellmind.com/what-is-shame-5115076,,
Perfectionism And Embarrassment,Article showing how perfectionism can lead to strong embarrassment after small mistakes,embarrassment,self-esteem,article,https://www.verywellhealth.com/perfectionism-5323816,,
Toxic Shame And Feeling Exposed,Article on toxic shame which often feels like chronic embarrassment,embarrassment,emotional-insight,article,https://www.verywellmind.com/toxic-shame-8636232,,
Self Compassion For Embarrassing Moments,Video teaching self compassion as an antidote to shame and embarrassment,embarrassment,healing,video,https://www.youtube.com/watch?v=rTFN8t9SXiQ,,
Understanding Excitement And Highs,Article on emotional highs and why strong excitement can sometimes lead to emotional hangovers,excitement,psychoeducation,article,https://www.verywellmind.com/how-to-cope-with-an-emotional-hangover-11754430,,
Balancing Excitement With Rest,Article that explains why rest after big events can protect mental health,excitement,self-care,article,https://www.verywellmind.com/forty-healthy-coping-skills-4586742,,
Meditation To Ground Positive Energy,Video meditation you can use to stay grounded when life feels very exciting,excitement,relaxation,video,https://www.youtube.com/watch?v=wE292vsJcBY,,
Gratitude To Savor Joy,Video explanation of how gratitude helps you savor exciting experiences without burnout,excitement,wellbeing,video,https://www.youtube.com/watch?v=LG0COiQBjXA,,
What Are Anxiety Disorders,Article explaining anxiety and fear and how they affect thoughts and body,fear,psychoeducation,article,https://www.apa.org/topics/anxiety,,
How To Calm Down Fast,Article listing practical coping skills to calm anxiety and fear,fear,coping-skills,article,https://www.goodrx.com/health-topic/anxiety-disorders/how-to-calm-your-anxiety-nerves,,
Paced Breathing For Fear,Video showing a paced breathing skill that helps you calm fear and panic,fear,relaxation,video,https://www.youtube.com/watch?v=V6ru4eTnWJI,,
Box Breathing For Anxiety,Video that teaches box breathing to reduce anxious fear and gain control,fear,relaxation,video,https://www.youtube.com/watch?v=a7uQXDkxEtM,,
The Power Of Gratitude,Video about how gratitude practice can change your life and mood,gratitude,wellbeing,video,https://www.youtube.com/watch?v=6fg0e67TLpc,,
Gratitude And Brain Health,Video on how gratitude can improve mood and cognitive performance,gratitude,psychoeducation,video,https://www.youtube.com/watch?v=LG0COiQBjXA,,
Gratitude Versus Depression,Video explaining how gratitude practice can support recovery from low mood,gratitude,emotional-insight,video,https://www.youtube.com/watch?v=M5vcvxobh6k,,
Gratitude To Support Mental Health,Article describing how gratitude and positive thinking support health and resilience,gratitude,wellbeing,article,https://www.verywellmind.com/benefits-of-positive-thinking-2794767,,
Seven Steps For Managing Grief,Article outlining practical steps to cope with grief and loss,grief,coping-skills,article,https://newsnetwork.mayoclinic.org/discussion/7-steps-for-managing-grief-and-loss/,,
Coping With Grief Reminders,Article on how to handle reminders and waves of grief over time,grief,emotional-insight,article,https://newsnetwork.mayoclinic.org/discussion/grief-coping-with-reminders-after-a-loss/,,
Understanding Complicated Grief,Article about when grief becomes long lasting and when to seek extra support,grief,psychoeducation,article,https://www.mayoclinic.org/diseases-conditions/complicated-grief/symptoms-causes/syc-20360374,,
Offering Support To The Grieving,Article that helps you support others who are grieving which can also normalize your own grief,grief,relationships,article,https://www.mayoclinichealthsystem.org/hometown-health/speaking-of-health/offering-support-to-the-grieving,,
What Makes You Happy,TED playlist that explores different paths to happiness and joy,joy,emotional-insight,video,https://www.ted.com/playlists/4/what_makes_you_happy,,
Science Of Happiness,Video about how our minds misunderstand happiness and how to feel more joy,joy,psychoeducation,video,https://www.youtube.com/watch?v=4q1dgn_C0AU,,
The Science Of Happiness With Laurie Santos,Talk that explains science based habits to increase joy,joy,wellbeing,video,https://www.ted.com/talks/how_to_be_a_better_human_the_science_of_happiness_with_laurie_santos,,
Positive Thinking And Joy,Article that connects positive thinking with better mood and joy,joy,wellbeing,article,https://www.verywellmind.com/benefits-of-positive-thinking-2794767,,
Understanding Love And Attachment,Article that explores emotional bonds and how healthy love looks,love,psychoeducation,article,https://www.verywellmind.com/how-to-cope-with-negative-emotions-3144603,,
Self Love Versus Self Criticism,Article on reducing self loathing and building kinder self talk,love,self-esteem,article,https://www.verywellmind.com/ways-to-stop-self-hatred-4164280,,
Gratitude And Loving Relationships,Video about using gratitude to strengthen loving connections,love,relationships,video,https://www.youtube.com/watch?v=AlOEYqDFn-o,,
Habits For Warmer Relationships,Article sharing small daily actions that improve mood and connections,love,relationships,article,https://medium.com/mindful-mental-health/8-ways-to-improve-your-mental-health-7cf1df1204b6,,
What Is Nervousness And Anxiety,Article explaining anxiety symptoms and why nervousness happens,nervousness,psychoeducation,article,https://www.psychiatry.org/patients-families/anxiety-disorders/what-are-anxiety-disorders,,
How To Calm Your Anxiety,Article listing coping skills to calm nerves in the moment,nervousness,coping-skills,article,https://www.goodrx.com/health-topic/anxiety-disorders/how-to-calm-your-anxiety-nerves,,
Box Breathing For Nerves,Video teaching a simple breathing pattern to steady nerves,nervousness,relaxation,video,https://www.youtube.com/watch?v=a7uQXDkxEtM,,
TIPP Skill Paced Breathing,Video that teaches paced breathing as a quick skill for anxiety and nervousness,nervousness,relaxation,video,https://www.youtube.com/watch?v=V6ru4eTnWJI,,
What Is Mental Health,Official overview of mental health and wellness,neutral,psychoeducation,article,https://www.samhsa.gov/,,
General Coping Skills,List of many coping skills you can try when you are not sure what you feel,neutral,coping-skills,article,https://www.verywellmind.com/forty-healthy-coping-skills-4586742,,
Walking For Mental Health,Article about how simple walking improves mood and emotional balance,neutral,body-based,article,https://www.verywellhealth.com/mental-health-benefits-of-walking-8764863,,
Basic Breathing Exercises,Page with several breathing practices useful for many moods,neutral,relaxation,article,https://www.headspace.com/meditation/breathing-exercises,,
What Is Optimism,Article defining optimism and its benefits for health and wellbeing,optimism,psychoeducation,article,https://www.verywellmind.com/the-benefits-of-optimism-3144811,,
Learned Optimism,Article about how you can train your mind to be more optimistic over time,optimism,self-help,article,https://www.verywellmind.com/learned-optimism-4174101,,
Positive Thinking Benefits,Article on how positive thinking improves coping and resilience,optimism,wellbeing,article,https://www.verywellmind.com/benefits-of-positive-thinking-2794767,,
How To Focus On Optimism Daily,Article discussing simple ways to practice optimism in daily life,optimism,self-help,article,https://www.tallahassee.com/story/life/wellness/2023/12/12/how-can-we-better-focus-on-optimism-in-our-daily-lives/71872558007/,,
Understanding Pride And Self Worth,Article about healthy pride and how it relates to self esteem,pride,self-esteem,article,https://www.verywellmind.com/ways-to-stop-self-hatred-4164280,,
Positive Thinking And Confidence,Article describing how positive thinking supports confidence and pride in achievements,pride,wellbeing,article,https://www.verywellmind.com/what-is-positive-thinking-2794772,,
Habits To Feel Better About Yourself,Article showing small habits that build confidence and healthy pride,pride,self-help,article,https://medium.com/mindful-mental-health/8-ways-to-improve-your-mental-health-7cf1df1204b6,,
Science Of Happiness And Success,Talk about happiness and success which also touches on healthy pride,pride,emotional-insight,video,https://www.youtube.com/watch?v=G7Pf2Xb5PdA,,
Realizations After Emotional Highs,Article about emotional hangovers and insights after intense events,realization,emotional-insight,article,https://www.verywellmind.com/how-to-cope-with-an-emotional-hangover-11754430,,
Learning From Anxiety And Depression,Article on how understanding anxiety and depression can bring new realizations,realization,psychoeducation,article,https://www.verywellmind.com/coping-with-depression-and-anxiety-8715894,,
Meditation To Reflect On Change,Video meditation that encourages gentle reflection on thoughts and realizations,realization,reflection,video,https://www.youtube.com/watch?v=wE292vsJcBY,,
Happiness Science And Mindset Shifts,Talk that explores mindset shifts which often come from big realizations,realization,wellbeing,video,https://www.ted.com/talks/how_to_be_a_better_human_the_science_of_happiness_with_laurie_santos,,
Relief After Stress,Article about coping with stress and what recovery can look like,relief,psychoeducation,article,https://www.apa.org/monitor/2015/12/pc,,
Coping Skills For Letting Go,List of coping strategies that help the body relax after a hard time,relief,coping-skills,article,https://www.verywellmind.com/forty-healthy-coping-skills-4586742,,
Breathing To Release Tension,Page explaining breathing exercises that signal safety to the body,relief,relaxation,article,https://www.headspace.com/meditation/breathing-exercises,,
Five Minute De Stress Meditation,Short meditation video to help you feel relief in both body and mind,relief,relaxation,video,https://www.youtube.com/watch?v=wE292vsJcBY,,
What Is Remorse And Guilt,Article describing guilt and self blame and how they affect mental health,remorse,psychoeducation,article,https://www.verywellmind.com/ways-to-stop-self-hatred-4164280,,
Toxic Shame And Regret,Article on toxic shame which often includes painful remorse about the past,remorse,emotional-insight,article,https://www.verywellmind.com/toxic-shame-8636232,,
How To Deal With Regret,Video discussing how to learn from mistakes without letting regret define you,remorse,healing,video,https://www.youtube.com/watch?v=w09WOJoynaQ,,
Living With Fewer Regrets,Video offering ideas on how to move forward from regret toward healthier choices,remorse,self-help,video,https://www.youtube.com/watch?v=LkcDzj-Hgy0,,
Sadness Versus Depression,Article explaining normal sadness and when it may be more serious,sadness,psychoeducation,article,https://www.verywellmind.com/sadness-is-not-depression-2330492,,
Coping Skills For Depression,Article listing many coping strategies to use when you feel very low,sadness,coping-skills,article,https://www.verywellhealth.com/coping-skills-for-depression-8426424,,
Grief And Sadness After Loss,Article explaining grief which often includes deep sadness after loss,sadness,grief,article,https://newsnetwork.mayoclinic.org/discussion/7-steps-for-managing-grief-and-loss/,,
Depression And Gratitude Playlist,Video playlist with several short videos on depression and ways to cope,sadness,education,video,https://www.youtube.com/playlist?list=PLD4cyJhQaFwUJVS9EhPoe69k17o7wk0-8,,
Understanding Surprise And Emotional Swings,Article explaining emotional swings and how big events can lead to surprise and after effects,surprise,psychoeducation,article,https://www.verywellmind.com/how-to-cope-with-an-emotional-hangover-11754430,,
Coping With Sudden Changes,Article on coping with unexpected life changes that can cause shock or surprise,surprise,coping-skills,article,https://www.verywellmind.com/feeling-lost-7096808,,
Grounding After Sudden News,Video meditation that helps you ground after surprising or overwhelming events,surprise,relaxation,video,https://www.youtube.com/watch?v=wE292vsJcBY,,
Breathing Exercise To Reset,Short breathing video that helps reset the nervous system after surprises,surprise,relaxation,video,https://www.youtube.com/watch?v=V6ru4eTnWJI,,
Stress management,"Mayo Clinic explains what stress is, how it affects your body, and provides proven stress-reduction strategies.",stress,self-care,article,https://www.mayoclinic.org/healthy-lifestyle/stress-management/in-depth/stress-relief/art-20044456,,
Daily Calm – 10 Minute Mindfulness Meditation,A guided mindfulness meditation designed to reduce stress and bring focus to the present moment.,stress,mindfullness,video, https://www.youtube.com/watch?v=ZToicYcHIOU,,
10 Minute Stress Relief Meditation," A guided meditation specifically focused on relieving stress, tension, and mental overload.",stress,midfullness,video,https://www.youtube.com/watch?v=O-6f5wQXSu8,,
